Unnamed: 0,frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness,scaled-sound-pressure,log_frequency,sqrt_frequency,log_chord,sqrt_chord,log_thickness,sqrt_thickness
17,1000,0.0,0.3048,55.5,0.00283081,126.966,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
18,1250,0.0,0.3048,55.5,0.00283081,126.086,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
19,1600,0.0,0.3048,55.5,0.00283081,126.986,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
20,2000,0.0,0.3048,55.5,0.00283081,126.616,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
21,2500,0.0,0.3048,55.5,0.00283081,124.106,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
22,3150,0.0,0.3048,55.5,0.00283081,123.236,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
23,4000,0.0,0.3048,55.5,0.00283081,121.106,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
24,5000,0.0,0.3048,55.5,0.00283081,119.606,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
25,6300,0.0,0.3048,55.5,0.00283081,117.976,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
26,8000,0.0,0.3048,55.5,0.00283081,116.476,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
27,10000,0.0,0.3048,55.5,0.00283081,113.076,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
28,12500,0.0,0.3048,55.5,0.00283081,111.076,9.433563920090563,111.80339887498948,0.2660497723246671,0.5520869496736904,0.002826810802905634,0.05320535687315705
29,200,0.0,0.3048,39.6,0.00310138,118.129,5.303304908059076,14.142135623730951,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
30,250,0.0,0.3048,39.6,0.00310138,119.319,5.5254529391317835,15.811388300841896,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
31,315,0.0,0.3048,39.6,0.00310138,122.779,5.755742213586912,17.74823934929885,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
32,400,0.0,0.3048,39.6,0.00310138,124.809,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
33,500,0.0,0.3048,39.6,0.00310138,126.959,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
34,630,0.0,0.3048,39.6,0.00310138,128.629,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
35,800,0.0,0.3048,39.6,0.00310138,129.099,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
36,1000,0.0,0.3048,39.6,0.00310138,127.899,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
37,1250,0.0,0.3048,39.6,0.00310138,125.499,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
38,1600,0.0,0.3048,39.6,0.00310138,124.049,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
39,2000,0.0,0.3048,39.6,0.00310138,123.689,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
40,2500,0.0,0.3048,39.6,0.00310138,121.399,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
41,3150,0.0,0.3048,39.6,0.00310138,120.319,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
42,4000,0.0,0.3048,39.6,0.00310138,119.229,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
43,5000,0.0,0.3048,39.6,0.00310138,117.789,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
44,6300,0.0,0.3048,39.6,0.00310138,116.229,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
45,8000,0.0,0.3048,39.6,0.00310138,114.779,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
46,10000,0.0,0.3048,39.6,0.00310138,112.139,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
47,12500,0.0,0.3048,39.6,0.00310138,109.619,9.433563920090563,111.80339887498948,0.2660497723246671,0.5520869496736904,0.0030965806415769116,0.055690035015252055
48,200,0.0,0.3048,31.7,0.00331266,117.195,5.303304908059076,14.142135623730951,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
49,250,0.0,0.3048,31.7,0.00331266,118.595,5.5254529391317835,15.811388300841896,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
50,315,0.0,0.3048,31.7,0.00331266,122.765,5.755742213586912,17.74823934929885,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
51,400,0.0,0.3048,31.7,0.00331266,125.045,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
52,500,0.0,0.3048,31.7,0.00331266,127.315,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
53,630,0.0,0.3048,31.7,0.00331266,129.095,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
54,800,0.0,0.3048,31.7,0.00331266,129.235,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
55,1000,0.0,0.3048,31.7,0.00331266,127.365,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
56,1250,0.0,0.3048,31.7,0.00331266,124.355,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
57,1600,0.0,0.3048,31.7,0.00331266,122.365,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
58,2000,0.0,0.3048,31.7,0.00331266,122.375,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
59,2500,0.0,0.3048,31.7,0.00331266,120.755,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
60,3150,0.0,0.3048,31.7,0.00331266,119.135,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
61,4000,0.0,0.3048,31.7,0.00331266,118.145,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
62,5000,0.0,0.3048,31.7,0.00331266,115.645,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
63,6300,0.0,0.3048,31.7,0.00331266,113.775,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
64,8000,0.0,0.3048,31.7,0.00331266,110.515,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
65,10000,0.0,0.3048,31.7,0.00331266,108.265,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.0033071852292331375,0.057555712140499135
66,800,1.5,0.3048,71.3,0.00336729,127.122,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
67,1000,1.5,0.3048,71.3,0.00336729,125.992,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
68,1250,1.5,0.3048,71.3,0.00336729,125.872,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
69,1600,1.5,0.3048,71.3,0.00336729,126.632,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
70,2000,1.5,0.3048,71.3,0.00336729,126.642,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
71,2500,1.5,0.3048,71.3,0.00336729,124.512,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
72,3150,1.5,0.3048,71.3,0.00336729,123.392,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
73,4000,1.5,0.3048,71.3,0.00336729,121.762,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
74,5000,1.5,0.3048,71.3,0.00336729,119.632,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
75,6300,1.5,0.3048,71.3,0.00336729,118.122,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
76,8000,1.5,0.3048,71.3,0.00336729,115.372,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
77,10000,1.5,0.3048,71.3,0.00336729,113.492,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
78,12500,1.5,0.3048,71.3,0.00336729,109.222,9.433563920090563,111.80339887498948,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
79,16000,1.5,0.3048,71.3,0.00336729,106.582,9.680406499268875,126.49110640673517,0.2660497723246671,0.5520869496736904,0.003361633373804968,0.058028355137811724
80,315,1.5,0.3048,39.6,0.00392107,121.851,5.755742213586912,17.74823934929885,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
81,400,1.5,0.3048,39.6,0.00392107,124.001,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
82,500,1.5,0.3048,39.6,0.00392107,126.661,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
83,630,1.5,0.3048,39.6,0.00392107,128.311,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
84,800,1.5,0.3048,39.6,0.00392107,128.831,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
85,1000,1.5,0.3048,39.6,0.00392107,127.581,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
86,1250,1.5,0.3048,39.6,0.00392107,125.211,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
87,1600,1.5,0.3048,39.6,0.00392107,122.211,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
88,2000,1.5,0.3048,39.6,0.00392107,122.101,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
89,2500,1.5,0.3048,39.6,0.00392107,120.981,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
90,3150,1.5,0.3048,39.6,0.00392107,119.111,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
91,4000,1.5,0.3048,39.6,0.00392107,117.741,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
92,5000,1.5,0.3048,39.6,0.00392107,116.241,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
93,6300,1.5,0.3048,39.6,0.00392107,114.751,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
94,8000,1.5,0.3048,39.6,0.00392107,112.251,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
95,10000,1.5,0.3048,39.6,0.00392107,108.991,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
96,12500,1.5,0.3048,39.6,0.00392107,106.111,9.433563920090563,111.80339887498948,0.2660497723246671,0.5520869496736904,0.003913402641325483,0.06261844776102327
97,400,3.0,0.3048,71.3,0.00425727,127.564,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
98,500,3.0,0.3048,71.3,0.00425727,128.454,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
99,630,3.0,0.3048,71.3,0.00425727,129.354,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
100,800,3.0,0.3048,71.3,0.00425727,129.494,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
101,1000,3.0,0.3048,71.3,0.00425727,129.004,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
102,1250,3.0,0.3048,71.3,0.00425727,127.634,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
103,1600,3.0,0.3048,71.3,0.00425727,126.514,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
104,2000,3.0,0.3048,71.3,0.00425727,125.524,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
105,2500,3.0,0.3048,71.3,0.00425727,124.024,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
106,3150,3.0,0.3048,71.3,0.00425727,121.514,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
107,4000,3.0,0.3048,71.3,0.00425727,120.264,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
108,5000,3.0,0.3048,71.3,0.00425727,118.134,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
109,6300,3.0,0.3048,71.3,0.00425727,116.134,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
110,8000,3.0,0.3048,71.3,0.00425727,114.634,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
111,10000,3.0,0.3048,71.3,0.00425727,110.224,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.004248233464310055,0.06524775858219192
112,400,3.0,0.3048,55.5,0.00452492,126.159,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
113,500,3.0,0.3048,55.5,0.00452492,128.179,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
114,630,3.0,0.3048,55.5,0.00452492,129.569,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
115,800,3.0,0.3048,55.5,0.00452492,129.949,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
116,1000,3.0,0.3048,55.5,0.00452492,129.329,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
117,1250,3.0,0.3048,55.5,0.00452492,127.329,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
118,1600,3.0,0.3048,55.5,0.00452492,124.439,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
119,2000,3.0,0.3048,55.5,0.00452492,123.069,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
120,2500,3.0,0.3048,55.5,0.00452492,122.439,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
121,3150,3.0,0.3048,55.5,0.00452492,120.189,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
122,4000,3.0,0.3048,55.5,0.00452492,118.689,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
123,5000,3.0,0.3048,55.5,0.00452492,117.309,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
124,6300,3.0,0.3048,55.5,0.00452492,115.679,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
125,8000,3.0,0.3048,55.5,0.00452492,113.799,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
126,10000,3.0,0.3048,55.5,0.00452492,112.169,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.004514713327499058,0.06726752559742331
127,315,3.0,0.3048,39.6,0.00495741,123.312,5.755742213586912,17.74823934929885,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
128,400,3.0,0.3048,39.6,0.00495741,125.472,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
129,500,3.0,0.3048,39.6,0.00495741,127.632,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
130,630,3.0,0.3048,39.6,0.00495741,129.292,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
131,800,3.0,0.3048,39.6,0.00495741,129.552,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
132,1000,3.0,0.3048,39.6,0.00495741,128.312,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
133,1250,3.0,0.3048,39.6,0.00495741,125.802,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
134,1600,3.0,0.3048,39.6,0.00495741,122.782,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
135,2000,3.0,0.3048,39.6,0.00495741,120.532,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
136,2500,3.0,0.3048,39.6,0.00495741,120.162,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
137,3150,3.0,0.3048,39.6,0.00495741,118.922,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
138,4000,3.0,0.3048,39.6,0.00495741,116.792,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
139,5000,3.0,0.3048,39.6,0.00495741,115.792,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
140,6300,3.0,0.3048,39.6,0.00495741,114.042,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
141,8000,3.0,0.3048,39.6,0.00495741,110.652,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.004945162503608887,0.07040887728120653
142,315,3.0,0.3048,31.7,0.00529514,123.118,5.755742213586912,17.74823934929885,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
143,400,3.0,0.3048,31.7,0.00529514,125.398,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
144,500,3.0,0.3048,31.7,0.00529514,127.548,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
145,630,3.0,0.3048,31.7,0.00529514,128.698,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
146,800,3.0,0.3048,31.7,0.00529514,128.708,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
147,1000,3.0,0.3048,31.7,0.00529514,126.838,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
148,1250,3.0,0.3048,31.7,0.00529514,124.838,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
149,1600,3.0,0.3048,31.7,0.00529514,122.088,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
150,2000,3.0,0.3048,31.7,0.00529514,120.088,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
151,2500,3.0,0.3048,31.7,0.00529514,119.598,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
152,3150,3.0,0.3048,31.7,0.00529514,118.108,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
153,4000,3.0,0.3048,31.7,0.00529514,115.608,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
154,5000,3.0,0.3048,31.7,0.00529514,113.858,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
155,6300,3.0,0.3048,31.7,0.00529514,109.718,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.005281170039754041,0.07276771262036481
156,250,4.0,0.3048,71.3,0.00497773,126.395,5.5254529391317835,15.811388300841896,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
157,315,4.0,0.3048,71.3,0.00497773,128.175,5.755742213586912,17.74823934929885,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
158,400,4.0,0.3048,71.3,0.00497773,129.575,5.993961427306569,20.0,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
159,500,4.0,0.3048,71.3,0.00497773,130.715,6.2166061010848646,22.360679774997898,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
160,630,4.0,0.3048,71.3,0.00497773,131.615,6.447305862541213,25.099800796022265,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
161,800,4.0,0.3048,71.3,0.00497773,131.755,6.68586094706836,28.284271247461902,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
162,1000,4.0,0.3048,71.3,0.00497773,131.015,6.90875477931522,31.622776601683793,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
163,1250,4.0,0.3048,71.3,0.00497773,129.395,7.1316985104669115,35.35533905932738,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
164,1600,4.0,0.3048,71.3,0.00497773,126.645,7.3783837129967145,40.0,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
165,2000,4.0,0.3048,71.3,0.00497773,124.395,7.601402334583733,44.721359549995796,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
166,2500,4.0,0.3048,71.3,0.00497773,123.775,7.824445930877619,50.0,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
167,3150,4.0,0.3048,71.3,0.00497773,121.775,8.055475141757274,56.124860801609124,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
168,4000,4.0,0.3048,71.3,0.00497773,119.535,8.294299608857235,63.245553203367585,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
169,5000,4.0,0.3048,71.3,0.00497773,117.785,8.517393171418904,70.71067811865476,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
170,6300,4.0,0.3048,71.3,0.00497773,116.165,8.748463629942055,79.37253933193772,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
171,8000,4.0,0.3048,71.3,0.00497773,113.665,8.987321812850125,89.44271909999159,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
172,10000,4.0,0.3048,71.3,0.00497773,110.905,9.210440366976517,100.0,0.2660497723246671,0.5520869496736904,0.004965382061540186,0.07055302970106954
